episode, title
001, 第一回 甄士隐梦幻识通灵 贾雨村风尘怀闺秀
002, 第二回 贾夫人仙逝扬州城 冷子兴演说荣国府
003, 第三回 托内兄如海荐西宾 接外孙贾母惜孤女
004, 第四回 薄命女偏逢薄命郎 葫芦僧判断葫芦案
005, 第五回 贾宝玉神游太虚境 警幻仙曲演红楼梦
006, 第六回 贾宝玉初试云雨情 刘姥姥一进荣国府
007, 第七回 送宫花贾琏戏熙凤 宴宁府宝玉会秦钟
008, 第八回 贾宝玉奇缘识金锁 薛宝钗巧合认通灵
009, 第九回 训劣子李贵承申饬 嗔顽童茗烟闹书房
010, 第十回 金寡妇贪利权受辱 张太医论病细穷源
011, 第十一回 庆寿辰宁府排家宴 见熙凤贾瑞起淫心
012, 第十二回 王熙凤毒设相思局 贾天祥正照风月鉴
013, 第十三回 秦可卿死封龙禁尉 王熙凤协理宁国府
014, 第十四回 林如海灵返苏州郡 贾宝玉路谒北静王
015, 第十五回 王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵
016, 第十六回 贾元春才选凤藻宫 秦鲸卿夭逝黄泉路
017, 第十七回 大观园试才题对额 荣国府归省庆元宵
018, 第十八回 皇恩重元妃省父母 天伦乐宝玉呈才藻
019, 第十九回 情切切良宵花解语 意绵绵静日玉生香
020, 第二十回 王熙凤正言弹妒意 林黛玉俏语谑娇音
021, 第二十一回 贤袭人娇嗔箴宝玉 俏平儿软语救贾琏
022, 第二十二回 听曲文宝玉悟禅机 制灯谜贾政悲谶语
023, 第二十三回 西厢记妙词通戏语 牡丹亭艳曲警芳心
024, 第二十四回 醉金刚轻财尚义侠 痴女儿遗帕惹相思
025, 第二十五回 魇魔法叔嫂逢五鬼 通灵玉蒙蔽遇双真
026, 第二十六回 蜂腰桥设言传心事 潇湘馆春困发幽情
027, 第二十七回 滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红
028, 第二十八回 蒋玉菡情赠茜香罗 薛宝钗羞笼红麝串
029, 第二十九回 享福人福深还祷福 多情女情重愈斟情
030, 第三十回 宝钗借扇机带双敲 椿龄画蔷痴及局外
031, 第三十一回 撕扇子作千金一笑 因麒麟伏白首双星
032, 第三十二回 诉肺腑心迷活宝玉 含耻辱情烈死金钏
033, 第三十三回 手足眈眈小动唇舌 不肖种种大承笞挞
034, 第三十四回 情中情因情感妹妹 错里错以错劝哥哥
035, 第三十五回 白玉钏亲尝莲叶羹 黄金莺巧结梅花络
036, 第三十六回 绣鸳鸯梦兆绛芸轩 识分定情悟梨香院
037, 第三十七回 秋爽斋偶结海棠社 蘅芜苑夜拟菊花题
038, 第三十八回 林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏
039, 第三十九回 村姥姥是信口开河 情哥哥偏寻根究底
040, 第四十回 史太君两宴大观园 金鸳鸯三宣牙牌令
041, 第四十一回 贾宝玉品茶栊翠庵 刘姥姥醉卧怡红院
042, 第四十二回 蘅芜君兰言解疑癖 潇湘子雅谑补余音
043, 第四十三回 闲取乐偶攒金庆寿 不了情暂撮土为香
044, 第四十四回 变生不测凤姐泼醋 喜出望外平儿理妆
045, 第四十五回 金兰契互剖金兰语 风雨夕闷制风雨词
046, 第四十六回 尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶
047, 第四十七回 呆霸王调情遭苦打 冷郎君惧祸走他乡
048, 第四十八回 滥情人情误思游艺 慕雅女雅集苦吟诗
049, 第四十九回 琉璃世界白雪红梅 脂粉香娃割腥啖膻
050, 第五十回 芦雪庭争联即景诗 暖香坞雅制春灯谜
051, 第五十一回 薛小妹新编怀古诗 胡庸医乱用虎狼药
052, 第五十二回 俏平儿情掩虾须镯 勇晴雯病补孔雀裘
053, 第五十三回 宁国府除夕祭宗祠 荣国府元宵开夜宴
054, 第五十四回 史太君破陈腐旧套 王熙凤效戏彩斑衣
055, 第五十五回 辱亲女愚妾争闲气 欺幼主刁奴蓄险心
056, 第五十六回 敏探春兴利除宿弊 贤宝钗小惠全大体
057, 第五十七回 慧紫鹃情辞试莽玉 慈姨妈爱语慰痴颦
058, 第五十八回 杏子阴假凤泣虚凰 茜纱窗真情揆痴理
059, 第五十九回 柳叶渚边嗔莺叱燕 绛芸轩里召将飞符
060, 第六十回 茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜
061, 第六十一回 投鼠忌器宝玉瞒赃 判冤决狱平儿行权
062, 第六十二回 憨湘云醉眠芍药茵 呆香菱情解石榴裙
063, 第六十三回 寿怡红群芳开夜宴 死金丹独艳理亲丧
064, 第六十四回 幽淑女悲题五美吟 浪荡子情遗九龙珮
065, 第六十五回 贾二舍偷娶尤二姨 尤三姐思嫁柳二郎
066, 第六十六回 情小妹耻情归地府 冷二郎一冷入空门
067, 第六十七回 见土仪颦卿思故里 闻秘事凤姐讯家童
068, 第六十八回 苦尤娘赚入大观园 酸凤姐大闹宁国府
069, 第六十九回 弄小巧用借剑杀人 觉大限吞生金自逝
070, 第七十回 林黛玉重建桃花社 史湘云偶填柳絮词
071, 第七十一回 嫌隙人有心生嫌隙 鸳鸯女无意遇鸳鸯
072, 第七十二回 王熙凤恃强羞说病 来旺妇倚势霸成亲
073, 第七十三回 痴丫头误拾绣春囊 懦小姐不问累金凤
074, 第七十四回 惑奸馋抄检大观园 避嫌隙杜绝宁国府
075, 第七十五回 开夜宴异兆发悲音 赏中秋新词得佳谶
076, 第七十六回 凸碧堂品笛感凄清 凹晶馆联诗悲寂寞
077, 第七十七回 俏丫鬟抱屈夭风流 美优伶斩情归水月
078, 第七十八回 老学士闲征姽婳词 痴公子杜撰芙蓉诔
079, 第七十九回 薛文起悔娶河东吼 贾迎春误嫁中山狼
080, 第八十回 美香菱屈受贪夫棒 王道士胡诌妒妇方
081, 第八十一回 占旺相四美钓游鱼 奉严词两番入家塾
082, 第八十二回 老学究讲义警顽心 病潇湘痴魂惊恶梦
083, 第八十三回 省宫闱贾元妃染恙 闹闺阃薛宝钗吞声
084, 第八十四回 试文字宝玉始提亲 探惊风贾环重结怨
085, 第八十五回 贾存周报升郎中任 薛文起复惹放流刑
086, 第八十六回 受私贿老官翻案牍 寄闲情淑女解琴书
087, 第八十七回 感秋声抚琴悲往事 坐禅寂走火入邪魔
088, 第八十八回 博庭欢宝玉赞孤儿 正家法贾珍鞭悍仆
089, 第八十九回 人亡物在公子填词 蛇影杯弓颦卿绝粒
090, 第九十回 失绵衣贫女耐嗷嘈 送果品小郎惊叵测
091, 第九十一回 纵淫心宝蟾工设计 布疑阵宝玉妄谈禅
092, 第九十二回 评女传巧姐慕贤良 玩母珠贾政参聚散
093, 第九十三回 甄家仆投靠贾家门 水月庵掀翻风月案
094, 第九十四回 宴海棠贾母赏花妖 失宝玉通灵知奇祸
095, 第九十五回 因讹成实元妃薨逝 以假混真宝玉疯颠
096, 第九十六回 瞒消息凤姐设奇谋 泄机关颦儿迷本性
097, 第九十七回 林黛玉焚稿断痴情 薛宝钗出闺成大礼
098, 第九十八回 苦绛珠魂归离恨天 病神瑛泪洒相思地
099, 第九十九回 守官箴恶奴同破例 阅邸报老舅自担惊
100, 第一百回 破好事香菱结深恨 悲远嫁宝玉感离情
101, 第一百零一回 大观园月夜感幽魂 散花寺神签惊异兆
102, 第一百零二回 宁国府骨肉病灾祲 大观园符水驱妖孽
103, 第一百零三回 施毒计金桂自焚身 昧真禅雨村空遇旧
104, 第一百零四回 醉金刚小鳅生大浪 痴公子余痛触前情
105, 第一百零五回 锦衣军查抄宁国府 骢马使弹劾平安州
106, 第一百零六回 王熙凤致祸抱羞惭 贾太君祷天消祸患
107, 第一百零七回 散余资贾母明大义 复世职政老沐天恩
108, 第一百零八回 强欢笑蘅芜庆生辰 死缠绵潇湘闻鬼哭
109, 第一百零九回 候芳魂五儿承错爱 还孽债迎女返真元
110, 第一百一十回 史太君寿终归地府 王凤姐力诎失人心
111, 第一百十一回 鸳鸯女殉主登太虚 狗彘奴欺天招伙盗
112, 第一百十二回 活冤孽妙姑遭大劫 死雠仇赵妾赴冥曹
113, 第一百十三回 忏宿冤凤姐托村妪 释旧憾情婢感痴郎
114, 第一百十四回 王熙凤历幻返金陵 甄应嘉蒙恩还玉阙
115, 第一百十五回 惑偏私惜春矢素志 证同类宝玉失相知
116, 第一百十六回 得通灵幻境悟仙缘 送慈柩故乡全孝道
117, 第一百十七回 阻超凡佳人双护玉 欣聚党恶子独承家
118, 第一百十八回 记微嫌舅兄欺弱女 惊谜语妻妾谏痴人
119, 第一百十九回 中乡魁宝玉却尘缘 沐皇恩贾家延世泽
120, 第一百二十回 甄士隐详说太虚情 贾雨村归结红楼梦(完)